id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion
3744562,(2016 CO248),27.5,0.008405334,0.0187948982,False,2025-02-07,5.8975396377,5161943.094973395,2026-02-25T21:13:34.957792
3824091,(2018 JF2),24.1,0.040230458,0.0899580388,False,2025-02-07,6.0349484606,54028760.266572016,2026-02-25T21:13:34.957850
54016528,(2020 GZ2),27.9,0.0069912523,0.0156329154,False,2025-02-07,8.9107238338,6791599.160452255,2026-02-25T21:13:34.957877
54158076,(2021 LJ4),20.11,0.2526707542,0.5649889822,False,2025-02-07,13.5296304677,34301806.085111801,2026-02-25T21:13:34.957882
54294032,(2022 PK1),25.19,0.0243531406,0.0544552779,False,2025-02-07,10.9537147015,5753816.281621968,2026-02-25T21:13:34.957884
54421074,(2024 BH),23.22,0.0603330078,0.1349087066,False,2025-02-07,16.0467581622,48729611.79467219,2026-02-25T21:13:34.957887
54497570,(2024 VF1),24.89,0.0279611466,0.0625230245,False,2025-02-07,5.3265323656,16159554.198149908,2026-02-25T21:13:34.957889
54509624,(2024 YU4),19.04,0.4135756649,0.9247833005,True,2025-02-07,29.1418194599,11229778.410498775,2026-02-25T21:13:34.957892
54518885,(2025 CZ1),29.36,0.0035690693,0.0079806815,False,2025-02-07,12.8469264462,314010.506824822,2026-02-25T21:13:34.957894
54522689,(2025 EV1),22.55,0.0821400526,0.1836707413,False,2025-02-07,10.5497625992,21804811.82336855,2026-02-25T21:13:34.957896
3477945,(2009 WN8),25.2,0.0242412481,0.0542050786,False,2025-02-06,20.5298294533,57577232.99273184,2026-02-25T21:13:34.957899
54517090,(2025 BN2),25.51,0.0210162379,0.0469937366,False,2025-02-06,5.0179687616,9658527.732074048,2026-02-25T21:13:34.957902
54517238,(2025 BC3),23.33,0.0573528464,0.1282448632,False,2025-02-06,10.8876096797,11251581.32766512,2026-02-25T21:13:34.957904
54517677,(2025 BH6),24.83,0.0287445144,0.0642746882,False,2025-02-06,7.9559597862,8591433.604022329,2026-02-25T21:13:34.957906
54517793,(2025 BQ7),22.16,0.0983003302,0.2198062205,False,2025-02-06,11.6496732885,21464876.963099096,2026-02-25T21:13:34.957908
54518081,(2025 CJ),28.28,0.0058688766,0.013123207,False,2025-02-06,4.8745347877,599339.436822829,2026-02-25T21:13:34.957928
54518667,(2025 CZ),25.44,0.0217047594,0.0485333175,False,2025-02-06,5.9563665563,9697008.612656704,2026-02-25T21:13:34.957930
54518706,(2025 CK1),27.98,0.0067383719,0.0150674576,False,2025-02-06,10.1146415794,1573184.96392404,2026-02-25T21:13:34.957933
54518711,(2025 CP1),28.72,0.0047924212,0.0107161795,False,2025-02-06,11.0677310616,565082.257622392,2026-02-25T21:13:34.957935
54518714,(2025 CR1),30.41,0.0022006703,0.0049208483,False,2025-02-06,6.0192283268,513776.246926127,2026-02-25T21:13:34.957937
